firmware_version,release_date,previous_version,days_since_previous_release,patch_size_mb,files_changed,lines_changed,is_hotfix,patch_security,code_churn_score,avg_device_age_days,previous_version_error_rate,error_rate_per_10k
10.0.1,2024-01-07,9.9.9,90.0,19.437984437242754,466,8436,False,False,0.27986666666666665,702.2191418354597,0.0,2240.901031238074
10.0.2,2024-01-24,10.0.1,17.0,11.815477378519352,283,5123,False,False,0.2921764705882353,426.9549650516743,452.7590597894262,1645.26100196883
10.0.3,2024-02-19,10.0.2,26.0,10.562794422716829,253,4580,False,False,0.21457692307692308,336.31931139662805,2133.975495108263,2590.1047735582383
10.0.4,2024-03-29,10.0.3,39.0,9.79931218861124,235,4254,False,False,0.17203846153846156,340.0878689318216,3624.7251265459154,2429.2883677228438
10.1.0,2024-04-11,10.0.4,13.0,8.381173664552673,201,3639,False,True,0.24046153846153845,467.0259993794463,2519.057152975296,1150.9536310236276
10.2.0,2024-04-25,10.1.0,14.0,21.323744405609965,511,9251,False,False,0.5858928571428571,400.4943055997591,1614.6950270968875,3553.3383293576103
10.3.0,2024-05-29,10.2.0,34.0,10.536023733587212,253,4580,False,False,0.19385294117647062,170.94339585025511,1946.66332483,2662.086254480972
10.4.0,2024-06-25,10.3.0,27.0,17.028723872346898,408,7386,False,False,0.3407777777777778,395.62777741646056,3080.4338948814598,2968.478875068767
10.4.1,2024-07-20,10.4.0,25.0,9.626196559969985,231,4182,False,True,0.19913999999999998,447.3425586023911,2174.2151514863435,2956.309284235444
10.4.2,2024-08-17,10.4.1,28.0,31.998530688407428,767,13886,False,False,0.6314642857142858,691.0722405392021,3216.2369765597573,1577.172140451544
10.5.0,2024-08-30,10.4.2,13.0,9.244638101748695,222,4019,False,False,0.2655769230769231,699.6623433009012,645.2343459696812,2772.5389271558156
10.5.1,2024-09-28,10.5.0,29.0,19.813456673474434,475,8599,False,False,0.38575862068965516,633.5425332394777,3112.4397255845342,2881.90675551158
10.5.2,2024-10-30,10.5.1,32.0,13.677029017154474,328,5938,False,True,0.25678125,478.6546129993596,442.98675447665215,2138.3708466737107
10.5.3,2024-12-17,10.5.2,48.0,16.92187067566479,406,7350,False,True,0.2795625,567.3129811570241,1625.8516667138124,2140.2133184443883
10.5.4,2025-01-13,10.5.3,27.0,34.158702931679805,819,14827,False,False,0.6840740740740742,259.7834580431874,3308.253735119706,3260.1671077559567
10.5.5,2025-01-27,10.5.4,14.0,13.921596929300513,334,6047,False,False,0.3829642857142857,524.8129870475225,2251.592002458887,2588.1114248444023
10.5.6,2025-02-22,10.5.5,26.0,16.215875460892498,389,7042,False,False,0.32992307692307693,520.2195255609284,1850.2708264576804,2313.0383431796768
10.5.7,2025-03-18,10.5.6,24.0,19.754400522374663,474,8581,True,False,0.41577083333333337,147.6045563944206,885.2205335168184,1339.8065839822273
10.5.8,2025-04-03,10.5.7,16.0,20.425709291763006,490,8871,False,False,0.52221875,705.5806661560948,1344.1820979804709,1680.2187965046762
10.5.9,2025-04-28,10.5.8,25.0,17.111445404467197,410,7423,False,False,0.35346000000000005,315.61934906162196,2145.347775639131,1427.3155995940267
10.5.10,2025-05-18,10.5.9,20.0,33.25064612494941,798,14447,False,False,0.7601749999999999,177.2178294506651,1654.0663282502512,2027.2294162051594
10.5.11,2025-06-04,10.5.10,17.0,12.95816256919552,311,5630,False,False,0.3210882352941177,669.0208705427743,1177.238981506086,1791.6297530403158
10.5.12,2025-07-05,10.5.11,31.0,19.820313907994485,475,8599,False,False,0.3761935483870968,505.56804143747104,2423.4563842225843,2439.697655449811
10.5.13,2025-07-22,10.5.12,17.0,10.675773963612091,256,4635,False,False,0.2643235294117647,618.8507604563462,637.1695947894469,2600.542309335616
10.6.0,2025-08-15,10.5.13,24.0,9.822415643891398,236,4272,False,False,0.207,237.51593830878625,2205.6499184409217,1930.2270036069087
10.6.1,2025-09-10,10.6.0,26.0,16.552398930703948,397,7187,False,False,0.33671153846153845,399.0809070444559,1401.1040267793226,1971.4576067099056
10.6.2,2025-10-17,10.6.1,37.0,16.397145606871323,393,7115,False,False,0.29264864864864865,512.6324307146454,2221.0517247066855,2509.928240475311
10.6.3,2025-11-25,10.6.2,39.0,14.590560036698287,350,6336,False,True,0.2562307692307692,107.43576674149126,1073.1698595563978,1908.044396057862
10.6.4,2025-12-16,10.6.3,21.0,11.008541177345748,264,4779,True,False,0.24578571428571427,369.4296985853161,1532.8365521826988,1233.7364614700193
10.6.5,2026-01-04,10.6.4,19.0,9.323425720473914,224,4055,False,False,0.21871052631578947,747.6003228432354,2249.655208892001,2652.4319631808175
10.6.6,2026-01-16,10.6.5,12.0,28.84257808576546,692,12528,False,False,0.868,610.8897698793501,1938.95666504604,1612.9486929299019
10.7.0,2026-01-30,10.6.6,14.0,17.107429462603065,410,7423,False,False,0.47010714285714283,548.3539807637437,930.2571779595959,581.2943234066261
10.7.1,2026-02-10,10.7.0,11.0,9.289579049081366,223,4037,False,True,0.295,151.53541915471538,4325.948766597207,3693.6689795315788
10.7.2,2026-03-14,10.7.1,32.0,12.489426037361188,300,5431,False,True,0.234859375,341.2431013584313,921.753804321781,2419.8839028037537
10.7.3,2026-04-03,10.7.2,20.0,27.32110587772202,655,11858,False,False,0.62395,649.9411417006145,1887.7460313664046,2362.412593656308
10.7.4,2026-04-28,10.7.3,25.0,10.232032149372264,245,4435,True,False,0.2112,227.71816991410097,2744.7242788625267,2195.7193005066943
10.7.5,2026-05-23,10.7.4,25.0,11.696357197973105,281,5087,False,False,0.24224,623.264341532091,3675.596673900331,3389.0203797244653
10.7.6,2026-06-17,10.7.5,25.0,12.744751875844631,306,5540,False,True,0.26380000000000003,743.7670711122792,2089.443537927412,2043.628931999062
10.7.7,2026-06-30,10.7.6,13.0,8.16351390577633,196,3548,False,False,0.23446153846153844,214.09652212353942,1435.0267027007396,1631.8203325486502
10.7.8,2026-07-30,10.7.7,30.0,11.760198925526597,282,5105,False,True,0.2260833333333333,742.009483326225,2073.0105913318,1887.7361811621818
10.7.9,2026-08-30,10.7.8,31.0,15.977083724159511,383,6934,False,False,0.3033387096774194,162.16644646414568,750.3011213284005,1812.182603506682
10.7.10,2026-10-08,10.7.9,39.0,18.046560997098997,433,7839,False,False,0.317,417.5832810764777,1124.0084530646495,2234.744636894654
10.7.11,2026-11-21,10.7.10,44.0,8.48480422549214,204,3693,False,True,0.1439659090909091,415.2795766395187,1466.383515985581,3562.715932915019
10.8.0,2026-12-31,10.7.11,40.0,16.637638779893688,399,7223,False,True,0.28978750000000003,334.9142832753031,1069.3866334424088,1617.5314273875097
10.8.1,2027-01-23,10.8.0,23.0,8.73190875089403,209,3784,False,False,0.18676086956521737,317.65123195942306,1271.0490230335747,2410.2865441970544
10.8.2,2027-03-05,10.8.1,41.0,19.427591734342492,466,8436,False,False,0.3358780487804878,354.0461908106893,2670.5722275500443,3299.1817538119935
10.9.0,2027-03-25,10.8.2,20.0,21.566279405234347,517,9360,False,False,0.4925,106.03149363337155,2727.9964055164573,2642.9019543649933
10.10.0,2027-04-16,10.9.0,22.0,20.639035577373427,495,8961,False,True,0.4511590909090909,669.7681165847006,2718.7833796862415,2744.08031165108
10.10.1,2027-05-22,10.10.0,36.0,16.863736778140833,404,7314,False,False,0.3035833333333333,417.3010745383022,1116.0457254335317,3202.724198233097
10.10.2,2027-06-18,10.10.1,27.0,10.265403142271023,246,4454,False,False,0.20548148148148146,622.1756983491903,1712.1162879694302,3312.107038958361
